197,that shit don't make no damn sense,reaction to something that literally doesn't makes no sense
198,that's tuff,someone's inconvenience
199,that's wraps,something as over as in defeat or winning
200,the struggle,describe someone's circumstance
201,gawds,hypothetical nickname
202,movin weird,describe someone's behavior
,moving weird,(variant) describe someone's behavior
203,thick,one's body as having curves
204,thirsty,someone/something as being desperate
205,thot,thathxeoverthere
206,tight,"cool, and/or neat"
207,throwing shade,spreadshadeof someone or something
208,throw it back,twerk
209,trash,"really bad, or lack of quality"
210,tried it,"tests someone's patience, or state of being"
211,triffling,"untrustworthy, sneaky,"
212,trip,"overreact, and/or be overdramatic"
213,tryna,trying to
214,tussle,fight
215,tweak,similar tolag
216,vibe,resonate with one's energy
217,wayment now,wait a minute now
218,we been knew,already being knowledgeable something
219,werk,work
220,what's poppin,"what's up, how's it going"
,wus poppin,"(variant) what's up, how's it going"
221,what we not finna do,"""what we're not gonna do"""
222,wig,express shock
223,woke,open-minded or alert
224,wypipo,"""white people"""
225,yas,yes
226,you ain't even,you aren't even
227,you better than me,much worse
228,"you got the right idea, but the wrong bxtch",they're not the person
229,yuh,yeah
