,date,content,url,hashtags,topic
540,2016-11-27 20:18:03+00:00,"@neekdaasneak 😂😂😂😂
#ThanksgivingClapBack",https://twitter.com/jenbthomas/status/802969759071535104,['ThanksgivingClapBack'],thanksgiving
541,2016-11-27 20:15:53+00:00,"For When Your Family Drives You Crazy on Thanksgiving, Just Pull Out Something From #ThanksgivingClapBack

https://t.co/MkClg6jE2c https://t.co/iSmwbpsDps",https://twitter.com/naturalhairrule/status/802969213933654016,['ThanksgivingClapBack'],thanksgiving
542,2016-11-27 18:26:46+00:00,#ThanksgivingClapBack https://t.co/eL3Dsg9aL0,https://twitter.com/nemobeatz/status/802941754165133312,['ThanksgivingClapBack'],thanksgiving
543,2016-11-27 18:16:55+00:00,"#thanksgivingclapback #leftovers Take the old pot liquor from the greens, cut you up some fresh… https://t.co/4ww827s8DE",https://twitter.com/mazeltiff/status/802939275964809216,"['thanksgivingclapback', 'leftovers']",thanksgiving
544,2016-11-27 17:05:32+00:00,Get in my face and watch how fast I slap the shit out of it 😊😊😊 #thanksgivingclapback,https://twitter.com/dinahleigho/status/802921310095601664,['thanksgivingclapback'],thanksgiving
545,2016-11-27 16:22:09+00:00,"We all have that one #aunt 
#mooooooooooom #mom #thanksgiving #thanksgivingclapback #instafunny https://t.co/6gEU3WpOmc",https://twitter.com/jirakong/status/802910393483993088,"['aunt', 'mooooooooooom', 'mom', 'thanksgiving', 'thanksgivingclapback', 'instafunny']",thanksgiving
546,2016-11-27 15:15:48+00:00,"For When Your Family Drives You Crazy on Thanksgiving, Just Pull Out Something From #ThanksgivingClapBack

https://t.co/MkClg6jE2c https://t.co/d1LlBU0CU7",https://twitter.com/naturalhairrule/status/802893695725006849,['ThanksgivingClapBack'],thanksgiving
547,2016-11-27 15:12:40+00:00,Print edition #thanksgivingclapback https://t.co/OK2YtMIce1,https://twitter.com/katekilla/status/802892905912369152,['thanksgivingclapback'],thanksgiving
548,2016-11-27 14:48:02+00:00,😂😂😂 #Thanksgivingclapback https://t.co/1UF5GJhMQr,https://twitter.com/WeavenSteven/status/802886705543946240,['Thanksgivingclapback'],thanksgiving
549,2016-11-27 13:39:38+00:00,#thanksgivingClapBack https://t.co/s5uYRjavkD,https://twitter.com/JDMD42069/status/802869492497973249,['thanksgivingClapBack'],thanksgiving
550,2016-11-27 12:10:12+00:00,"Some think it, some do it, but somebody's left laughing in the end, some #thanksgivingclapback truth https://t.co/hd0RM8Picp",https://twitter.com/BigMommaMemes/status/802846987167014913,['thanksgivingclapback'],thanksgiving
